Date,Close,High,Low,Open,Volume
2024-01-02,219612.703125,228624.89353722456,193050.48555051623,193050.48555051623,6284432
2024-01-03,219612.703125,221035.68629254273,212497.81841489725,216766.75235372,1991285
2024-01-04,206805.921875,217241.08014338973,203485.64848882303,216766.75759733672,1672727
2024-01-05,203485.640625,209177.542085281,202062.65747802713,203959.96315272254,1018643
2024-01-08,195422.09375,204908.6064796477,193999.1261788359,202062.65577351442,946878
2024-01-09,195422.09375,203011.31638476223,193524.80365511455,200165.35011482384,648884
2024-01-10,195422.09375,199216.70506738112,194473.44870255727,195422.09375,429944
2024-01-11,194473.453125,198268.06452867284,187548.30676805385,196370.75882683642,1391411
2024-01-12,186789.390625,194947.78206526366,184607.48510524188,188022.63548076528,1816149
2024-01-15,178441.25,188781.54633265367,184986.9350345216,186409.91816227237,141973
2024-01-16,177872.0625,184322.9021411776,176449.09484024183,182520.45776224998,1221603
2024-01-17,168859.875,177113.1428552764,168006.09135355844,177018.2659004902,1344213
2024-01-18,165729.328125,170282.84619116044,164780.68306732646,168859.8786046501,848142
2024-01-19,166962.578125,171610.973292731,165919.0560780178,166867.71672903953,841233
2024-01-22,174172.328125,176733.69481784466,168670.14914728075,168859.88750710178,1113764
2024-01-23,172275.015625,178820.71641685793,171516.09334293517,176543.9495706634,684301
2024-01-24,171421.234375,173698.0012534209,171231.5115837011,173508.26289831632,311133
2024-01-25,172654.484375,174456.92876528998,169808.53347373713,171136.6553077843,491933
2024-01-26,172844.21875,174741.52449502551,169998.26791436464,171516.09694657926,404656
2024-01-29,172369.890625,177872.05376175768,172369.890625,174551.78048829618,790550
2024-01-30,170377.734375,175595.31366362705,170377.734375,174646.65297963633,461584
2024-01-31,170472.59375,171800.70001524905,167057.44334303748,170377.73235186923,479113
2024-02-01,169523.921875,170567.44387689998,164780.6810800316,168575.27682876732,657357
2024-02-02,174551.78125,174551.78125,169523.92505744752,169523.92505744752,570928
2024-02-05,171610.96875,174931.24203117046,170282.84698648757,174551.78089356766,538070
2024-02-06,173603.140625,176638.81424583815,171895.55767673493,171895.55767673493,602640
