Date,Close,High,Low,Open,Volume
2024-01-02,12489.873046875,12648.9208984375,11825.6181640625,11919.1748046875,2834914
2024-01-03,12424.3837890625,12705.0546875,12349.5380859375,12489.873046875,1839698
2024-01-04,12209.2021484375,12349.5380859375,12087.578125,12330.826171875,1030391
2024-01-05,12433.7392578125,12536.65234375,12096.93359375,12218.5576171875,1103493
2024-01-08,13257.0419921875,13453.51171875,12480.517578125,12499.2294921875,6797418
2024-01-09,13041.8603515625,13696.759765625,13013.79296875,13388.021484375,2893997
2024-01-10,12536.65234375,13060.572265625,12536.65234375,13051.2158203125,1692168
2024-01-11,12723.7666015625,12770.544921875,12368.2490234375,12564.71875,2012116
2024-01-12,12405.671875,12789.255859375,12368.2490234375,12630.208984375,837280
2024-01-15,12302.7587890625,12527.2958984375,12368.2490234375,12415.02734375,96764
2024-01-16,12040.7998046875,12321.470703125,11947.2421875,12218.5576171875,1478121
2024-01-17,11928.53125,12611.498046875,11919.1748046875,12162.423828125,2217700
2024-01-18,12330.826171875,12630.208984375,11919.1748046875,12003.376953125,1728794
2024-01-19,12190.4912109375,12574.0751953125,12096.93359375,12489.873046875,1030557
2024-01-22,12480.517578125,12667.6318359375,12255.98046875,12293.4033203125,1449732
2024-01-23,13013.79296875,13322.53125,12349.5380859375,12471.162109375,3213651
2024-01-24,12854.74609375,13275.7529296875,12705.0546875,13051.2158203125,3137746
2024-01-25,12310.0,12830.0,12000.0,12810.0,3321153
2024-01-26,12340.0,12650.0,12260.0,12290.0,1140562
2024-01-29,12150.0,12320.0,12050.0,12300.0,1111702
2024-01-30,11850.0,12350.0,11830.0,12240.0,1423136
2024-01-31,11650.0,11820.0,11200.0,11790.0,2624696
2024-02-01,11840.0,11880.0,11370.0,11370.0,1442069
2024-02-02,11890.0,11940.0,11740.0,11740.0,1224585
2024-02-05,11690.0,11870.0,11640.0,11730.0,1125627
2024-02-06,11460.0,11750.0,11340.0,11620.0,1347149
2024-02-07,11500.0,11610.0,11350.0,11580.0,955327
2024-02-08,11740.0,11740.0,11460.0,11600.0,1981033
2024-02-13,11740.0,11790.0,11600.0,11780.0,996709
2024-02-14,11800.0,11900.0,11650.0,11670.0,1004154
2024-02-15,11830.0,11920.0,11750.0,11920.0,841566
2024-02-16,11840.0,12090.0,11810.0,11890.0,1389050
2024-02-19,12020.0,12070.0,11780.0,11840.0,1952310
2024-02-20,11840.0,12050.0,11800.0,12050.0,952163
2024-02-21,11740.0,11950.0,11700.0,11950.0,1034972
2024-02-22,11680.0,11850.0,11670.0,11800.0,605379
2024-02-23,11550.0,11760.0,11460.0,11750.0,1246301
2024-02-26,11520.0,11660.0,11500.0,11630.0,585855
2024-02-27,11130.0,11540.0,11090.0,11540.0,1403272
2024-02-28,11320.0,11370.0,11140.0,11140.0,1065472
2024-02-29,11380.0,11380.0,10940.0,11210.0,2850393
2024-03-04,11100.0,11350.0,11100.0,11290.0,1376774
2024-03-05,10940.0,11200.0,10940.0,11100.0,1361585
2024-03-06,10800.0,11240.0,10780.0,11050.0,1584458
2024-03-07,10780.0,10890.0,10550.0,10870.0,1042887
2024-03-08,10910.0,10970.0,10790.0,10870.0,811872
2024-03-11,10910.0,10960.0,10770.0,10910.0,578096
2024-03-12,11030.0,11050.0,10880.0,10990.0,699839
2024-03-13,10980.0,11160.0,10980.0,11090.0,727268
2024-03-14,11550.0,11550.0,10970.0,11020.0,2418347
2024-03-15,11180.0,11540.0,11050.0,11540.0,2383174
2024-03-18,11020.0,11210.0,11000.0,11210.0,633516
2024-03-19,10940.0,10990.0,10860.0,10980.0,729899
2024-03-20,11000.0,11010.0,10900.0,10950.0,601803
2024-03-21,11210.0,11290.0,11060.0,11070.0,1136552
2024-03-22,10750.0,11040.0,10680.0,11000.0,3976426
2024-03-25,10800.0,10840.0,10690.0,10750.0,905981
2024-03-26,10840.0,10970.0,10750.0,10790.0,1582446
2024-03-27,10630.0,10840.0,10470.0,10770.0,3098958
2024-03-28,10580.0,10740.0,10560.0,10600.0,1315756
2024-03-29,10750.0,10840.0,10590.0,10640.0,1596994
2024-04-01,10830.0,10870.0,10700.0,10780.0,1098067
2024-04-02,10550.0,10860.0,10520.0,10730.0,1773881
2024-04-03,10230.0,10540.0,10150.0,10500.0,2192324
2024-04-04,10450.0,10520.0,10290.0,10300.0,1320239
2024-04-05,10260.0,10350.0,10170.0,10300.0,1253659
2024-04-08,10360.0,10400.0,10140.0,10270.0,1038637
2024-04-09,10310.0,10540.0,10310.0,10400.0,1124572
2024-04-11,10060.0,10310.0,10010.0,10300.0,3187341
2024-04-12,10020.0,10190.0,10020.0,10070.0,1115533
2024-04-15,10000.0,10100.0,9980.0,9990.0,1205100
2024-04-16,9750.0,9980.0,9650.0,9950.0,2022716
2024-04-17,9820.0,9930.0,9770.0,9800.0,1058854
2024-04-18,10050.0,10150.0,9830.0,9900.0,1172077
2024-04-19,9930.0,10070.0,9820.0,9990.0,965241
2024-04-22,10130.0,10160.0,9940.0,10020.0,659863
2024-04-23,10130.0,10230.0,10060.0,10080.0,578950
2024-04-24,10240.0,10310.0,10100.0,10220.0,975914
2024-04-25,10280.0,10490.0,10070.0,10140.0,1169670
2024-04-26,10320.0,10380.0,10110.0,10280.0,885155
2024-04-29,10610.0,10620.0,10350.0,10350.0,1626699
2024-04-30,10540.0,10650.0,10510.0,10510.0,887487
2024-05-02,10380.0,10570.0,10370.0,10510.0,653214
2024-05-03,10550.0,10740.0,10500.0,10570.0,1009196
2024-05-07,10660.0,10820.0,10600.0,10740.0,1239090
2024-05-08,10700.0,10730.0,10540.0,10660.0,820945
2024-05-09,10640.0,10740.0,10510.0,10700.0,1235205
2024-05-10,10680.0,10730.0,10590.0,10700.0,900669
2024-05-13,10590.0,10690.0,10550.0,10650.0,652631
2024-05-14,10650.0,10690.0,10570.0,10590.0,499463
2024-05-16,10670.0,10920.0,10660.0,10750.0,1635364
2024-05-17,10280.0,10640.0,10270.0,10620.0,1576115
2024-05-20,10260.0,10420.0,10240.0,10380.0,679288
2024-05-21,10230.0,10340.0,10170.0,10250.0,560097
2024-05-22,10200.0,10310.0,10160.0,10250.0,512394
2024-05-23,10180.0,10230.0,10080.0,10150.0,596863
2024-05-24,9990.0,10130.0,9980.0,10100.0,1178955
2024-05-27,10080.0,10100.0,9980.0,10010.0,856594
2024-05-28,10450.0,10450.0,10030.0,10050.0,1560745
2024-05-29,10130.0,10420.0,10110.0,10340.0,1075800
2024-05-30,10050.0,10180.0,9990.0,10030.0,1031500
2024-05-31,9930.0,10330.0,9930.0,10150.0,2509704
2024-06-03,10330.0,10500.0,10090.0,10090.0,1808223
2024-06-04,10120.0,10370.0,10120.0,10240.0,927729
2024-06-05,10120.0,10270.0,10090.0,10140.0,604857
2024-06-07,10110.0,10220.0,10060.0,10120.0,802404
