Date,Close,High,Low,Open,Volume
2024-01-02,226389.53125,227882.20947802198,219921.25892857142,221413.9371565934,716469
2024-01-03,220916.375,222906.61261261263,218926.1373873874,222409.05320945947,690960
2024-01-04,221911.484375,224399.28128503362,219423.68746496635,219921.24684697308,538911
2024-01-05,219423.6875,222906.60317460317,218428.56873582766,221413.92502834467,387884
2024-01-08,225394.40625,230370.00020695364,220916.37168874172,220916.37168874172,1054917
2024-01-09,228379.765625,231862.6814406318,227384.64682053376,228379.765625,835945
2024-01-10,229872.4375,232360.23444264068,225891.9623917749,228379.75933441558,702562
2024-01-11,230370.0,233355.35637149028,228379.76241900647,231365.11879049675,879647
2024-01-12,229374.875,231365.11252711498,226887.0780911063,230867.55314533622,516678
2024-01-15,228379.765625,229374.8844294662,222409.0527982026,228877.3250272331,205882
2024-01-16,228877.328125,234350.4816236413,225891.97167119564,226389.53108016305,695734
2024-01-17,217931.015625,229374.8817422945,217433.45622859587,227384.64415667808,961856
2024-01-18,215443.21875,218428.5751299076,213950.54056004618,215940.77814665125,730722
2024-01-19,214448.09375,220418.80633700697,212457.8562209977,217931.00942575408,916193
2024-01-22,215940.78125,221413.9346918203,215940.78125,217931.01886520738,533513
2024-01-23,216935.890625,218428.5687715023,214448.09371416282,216935.890625,388908
2024-01-24,216935.890625,218428.5687715023,214448.09371416282,217931.00938933485,380731
2024-01-25,212457.859375,215940.775102459,211462.740595726,214945.65632318502,582265
2024-01-26,215443.21875,217433.45633660507,210467.6247834873,210467.6247834873,406869
2024-01-29,210965.1875,216935.90035377358,210467.62809551886,215443.22214033018,616505
2024-01-30,208477.390625,213452.98467332934,206984.71241050118,212955.42526849642,614246
2024-01-31,199521.3125,208477.38139027433,199023.753117207,207482.2626246883,1318605
2024-02-01,201511.5625,201511.5625,197630.59907407407,198526.2060185185,818613
2024-02-02,220418.8125,220418.8125,206984.70880361172,208477.38699209932,1841501
2024-02-05,206984.703125,220418.80645282453,206984.703125,219423.6876878005,1721981
2024-02-06,204496.90625,207979.82192822383,202506.66871958636,206984.70316301702,896400
2024-02-07,203501.796875,208477.39093062346,203004.23746943765,206984.71271393643,706209
2024-02-08,204994.46875,206984.7063106796,203999.3499696602,205492.02814016992,628984
2024-02-13,203999.359375,206984.71585365853,203501.79996189024,205492.03761432928,860778
2024-02-14,201511.5625,202506.6813271605,198327.18225308642,199521.32484567902,627951
2024-02-15,203004.234375,208477.38775275735,202506.67497702205,203999.35317095587,945641
2024-02-16,203999.359375,207979.83467987805,203004.24054878048,204496.91878810976,999143
2024-02-19,202506.671875,205492.0282171376,202009.11248464373,205492.0282171376,618150
2024-02-20,201511.5625,204496.9189814815,201014.00308641975,202506.6813271605,708867
2024-02-21,201511.5625,202506.6813271605,200018.88425925927,201014.00308641975,592041
2024-02-22,201014.0,203501.79702970298,199521.32178217822,203004.23762376237,881700
2024-02-23,199521.3125,202009.1094139651,199023.753117207,201511.55003117208,731357
2024-02-26,198924.25,200516.44009504752,198526.2024762381,199023.76188094047,630834
2024-02-27,199023.765625,199521.3250390625,197730.11114843749,198924.2537421875,650795
2024-02-28,203004.234375,203004.234375,198725.2235523897,199521.31858915443,597421
2024-02-29,194048.171875,199521.3254407051,194048.171875,199023.76602564103,2016957
2024-03-04,191062.8125,196436.4541015625,191062.8125,193451.09765625,1186323
2024-03-05,187778.921875,191858.90904875463,187778.921875,190863.79022588764,1096733
2024-03-06,188873.546875,191858.90325342465,188077.4518407534,188077.4518407534,876283
2024-03-07,188077.453125,190565.25012400793,187281.35808531745,190266.71448412698,775759
2024-03-08,187082.328125,189769.1487948803,187082.328125,189072.56565824468,750757
2024-03-11,188973.0625,189968.1813125329,187281.36051869404,187281.36051869404,653165
2024-03-12,189570.125,190266.70813648295,187480.37559055118,189769.14875328084,708580
2024-03-13,187480.375,190266.707537155,187380.86312367304,190167.19566082803,812716
2024-03-14,185888.1875,188475.49631959316,185888.1875,187878.4250535332,1148654
2024-03-15,185191.609375,187579.89450396292,185092.09749462653,185191.609375,1015837
2024-03-18,183201.375,185589.66017110265,182305.7680608365,185291.12452471483,1054143
2024-03-19,181708.6875,182902.83002464403,181211.12811473163,182305.75876232202,726483
2024-03-20,182206.25,183499.9044238121,181708.6906062261,182106.7381212452,569076
2024-03-21,183499.90625,186883.31016133406,183499.90625,183798.44188923534,1047858
2024-03-22,187977.9375,189868.66318157755,183698.92674695607,183698.92674695607,1280053
2024-03-25,187082.328125,188475.4943982713,184495.01933178192,186385.74498836437,654494
2024-03-26,187977.9375,190067.6869375331,186385.74745235575,187082.33059820012,746583
2024-03-27,188375.984375,190266.7100501849,187480.3774762282,187977.93686443474,590542
2024-03-28,186186.734375,189271.60276924103,186186.734375,189072.57900187065,661837
2024-03-29,186485.265625,187977.9438450507,184196.4923542556,186385.75374366328,633233
2024-04-01,193351.578125,193550.60188014666,187082.32983787954,187082.32983787954,1393825
2024-04-02,191062.8125,192157.4431966146,189570.13427734375,191560.3719075521,918137
2024-04-03,192455.96875,196336.93192541366,189669.63621380558,190067.68371897622,1132978
2024-04-04,193351.578125,195043.28004374678,193152.55436985331,194943.76816617342,682404
2024-04-05,192157.4375,192854.0206499223,189072.56926462974,191162.31871439668,484403
2024-04-08,188973.0625,192256.9545813586,187579.89616245392,192157.4427001053,614052
2024-04-09,188077.453125,189570.13132440476,185689.16800595238,188176.9650049603,457312
2024-04-11,182703.8125,187380.87088099128,182206.2530977669,185191.60951116556,1192681
2024-04-12,184992.578125,188375.9819207235,183698.9237325175,183798.4356088623,835729
2024-04-15,181907.71875,183698.9326107768,181708.69498769147,182902.83756154266,636607
2024-04-16,178623.828125,180813.08952820333,178623.828125,180713.57764623954,796179
2024-04-17,178723.328125,180713.5656319599,178723.328125,179917.47062917595,405813
2024-04-18,179817.96875,180614.06379703927,178922.3618220808,179121.3855838406,599743
2024-04-19,181509.671875,182902.83821614584,178225.77978515625,179021.8748372396,759807
2024-04-22,180016.984375,184395.50693580706,179419.91311670814,184295.9950594251,492109
2024-04-23,179220.890625,181509.66379789007,179121.37874791783,180514.5450270683,468831
2024-04-24,182803.328125,183499.91130239522,180415.04294535928,180514.55482784432,597721
2024-04-25,181808.203125,183698.92882799671,179320.40614737276,180614.06057573893,437455
2024-04-26,180614.0625,183599.41890495867,180614.0625,183201.37138429753,438747
2024-04-29,183798.4375,183897.94937736873,180713.56930157013,181310.64056578235,510519
2024-04-30,183499.90625,186584.77452209868,182902.8349715293,183698.93000949023,620050
2024-05-02,187878.421875,189072.56438691737,183698.9230832892,184295.99433924787,1046087
2024-05-03,193650.125,195441.33890030833,190565.25661613565,194048.17253340184,2291415
2024-05-07,193849.140625,197531.08015432497,192854.02183329055,196436.44948344456,1272598
2024-05-08,189968.171875,193152.55191690676,188774.02935928496,193152.55191690676,1000782
2024-05-09,187380.875,187778.92253053637,184594.54228624536,184992.58981678172,1129421
2024-05-10,187679.40625,188375.9894121156,186186.72804546662,187380.87060909334,691790
2024-05-13,183400.390625,185987.69944553718,181509.6649484536,185987.69944553718,723861
2024-05-14,183499.90625,186286.23888286334,183400.3943702549,184196.48940821583,542815
2024-05-16,187579.890625,189669.64006962866,185291.11742374007,185390.62930205572,805720
2024-05-17,186385.75,188873.54698344902,186087.21436198612,187679.4044313935,394214
2024-05-20,183101.859375,187082.33457880435,182703.81185461956,186982.82269870923,569690
2024-05-21,182305.765625,183599.42007539576,181211.1349362036,181211.1349362036,469119
2024-05-22,181708.6875,182405.27063937567,181410.151868839,181907.71125410733,316154
2024-05-23,181211.140625,182106.747580313,179220.90294652662,181012.11685715267,406392
2024-05-24,178126.265625,180216.01510998604,178126.265625,179419.9200680866,730052
2024-05-27,178126.265625,179220.89630761175,176534.07554120113,179121.38442737432,558709
2024-05-28,176534.078125,177827.73258702084,176534.078125,177628.70882363303,563865
2024-05-29,174444.328125,178922.36278879063,174245.30436216487,177230.66080469196,898094
2024-05-30,169568.25,174046.28477112675,169568.25,172653.11839788733,947416
2024-05-31,169369.21875,171160.43257931844,169170.19499118684,169667.75438821974,1117529
2024-06-03,171857.015625,174643.34824659815,170961.40871091487,171160.43246960046,661878
2024-06-04,175937.0,176534.07126696833,171757.5011312217,171757.5011312217,758259
2024-06-05,176235.53125,177330.161878882,174742.8531197064,176534.06687605873,467925
2024-06-07,174543.84375,177628.71214010834,174046.2843322406,176633.5933045895,638712
2024-06-10,169866.78125,174145.7921426479,169866.78125,172255.06639938487,744709
2024-06-11,169369.21875,170662.87318228555,169170.19499118684,170165.31378525266,606686
2024-06-12,167578.0,170065.79691211402,166881.41686460807,169170.19002375298,977784
2024-06-13,169070.6875,172155.5558416716,169070.6875,169170.19938198943,982883
2024-06-14,169070.6875,170264.83008387286,167876.54491612714,168473.61620806358,677657
2024-06-17,165289.234375,168573.1264486755,165189.72249397953,167976.0551625527,876593
2024-06-18,165985.8125,168573.12132793764,165488.25311001198,165886.3006220024,663328
2024-06-19,167080.453125,167578.01254466944,164294.1203748511,166881.42935713223,773616
2024-06-20,166383.859375,168871.6563154157,165687.27623168362,166682.39500784987,581688
2024-06-21,166781.90625,167179.95375894988,164791.6687052506,165388.73996867542,872036
2024-06-24,168075.5625,169866.77630994673,166383.86056838365,166881.41996003554,591088
2024-06-25,165587.765625,167578.0031926082,164891.18247633716,167378.97943584737,675119
2024-06-26,167578.0,168573.1187648456,164194.59619952494,164990.69121140143,635128
2024-06-27,164592.65625,166881.42958358524,164592.65625,165985.82262696492,582846
2024-06-28,166085.328125,168175.07761009588,165090.2093225734,166483.37564597063,709968
2024-07-01,162104.859375,165189.7277854512,160711.69299608655,164592.65648020257,1140154
2024-07-02,159119.5,161706.80894308942,158820.96435272045,160811.2020012508,932343
2024-07-03,159019.984375,161607.2932571965,158920.4724949155,159219.00813516896,608424
2024-07-04,159019.984375,160214.12693601375,158820.96061483104,159318.52001525342,505466
2024-07-05,167279.46875,167777.02814544915,159418.03030190364,159816.07781826294,1306514
2024-07-08,169667.75,171060.9162756598,165289.22741935484,167279.4649560117,1148160
2024-07-09,169866.78125,172056.04263693612,168971.17431898066,170264.82877489747,661077
2024-07-10,176633.59375,177429.68882042254,168871.6668133803,169767.27376760563,1659106
