Date,SamsungElectronics,SKHynix,Naver,Celltrion,LGDisplay
2024-01-02,77916.6015625,140837.5625,226389.53125,219612.703125,12489.873046875
2024-01-03,75371.59375,135299.03125,220916.375,219612.703125,12424.3837890625
2024-01-04,74980.046875,134903.40625,221911.484375,206805.921875,12209.2021484375
2024-01-05,74980.046875,135991.34375,219423.6875,203485.640625,12433.7392578125
2024-01-08,74882.171875,134507.78125,225394.40625,195422.09375,13257.0419921875
2024-01-09,73120.2265625,135892.4375,228379.765625,195422.09375,13041.8603515625
2024-01-10,72043.5,132035.234375,229872.4375,195422.09375,12536.65234375
2024-01-11,71651.953125,134507.78125,230370.0,194473.453125,12723.7666015625
2024-01-12,71554.0703125,132628.640625,229374.875,186789.390625,12405.671875
2024-01-15,72337.15625,132628.640625,228379.765625,178441.25,12302.7587890625
2024-01-16,71064.640625,130650.578125,228877.328125,177872.0625,12040.7998046875
2024-01-17,69498.484375,129562.6484375,217931.015625,168859.875,11928.53125
2024-01-18,70183.671875,134705.59375,215443.21875,165729.328125,12330.826171875
2024-01-19,73120.2265625,139749.640625,214448.09375,166962.578125,12190.4912109375
2024-01-22,73511.78125,141035.375,215940.78125,174172.328125,12480.517578125
2024-01-23,73609.65625,139255.109375,216935.890625,172275.015625,13013.79296875
2024-01-24,72435.0390625,139947.4375,216935.890625,171421.234375,12854.74609375
2024-01-25,72532.921875,135892.4375,212457.859375,172654.484375,12310.0
2024-01-26,71847.734375,134507.78125,215443.21875,172844.21875,12340.0
2024-01-29,72826.5703125,133518.78125,210965.1875,172369.890625,12150.0
2024-01-30,72728.6953125,135397.921875,208477.390625,170377.734375,11850.0
2024-01-31,71162.53125,133222.0625,199521.3125,170472.59375,11650.0
2024-02-01,72043.5,131244.0,201511.5625,169523.921875,11840.0
2024-02-02,73609.65625,133419.875,220418.8125,174551.78125,11890.0
2024-02-05,72728.6953125,130848.390625,206984.703125,171610.96875,11690.0
2024-02-06,72826.5703125,136485.859375,204496.90625,173603.140625,11460.0
2024-02-07,73413.8828125,136485.859375,203501.796875,169808.53125,11500.0
2024-02-08,72532.921875,141233.1875,204994.46875,170377.734375,11740.0
2024-02-13,73609.65625,148354.1875,203999.359375,177872.0625,11740.0
2024-02-14,72435.0390625,147068.453125,201511.5625,174741.515625,11800.0
2024-02-15,71651.953125,147266.25,203004.234375,173508.265625,11830.0
2024-02-16,71260.4140625,145189.296875,203999.359375,172844.21875,11840.0
2024-02-19,72239.265625,149639.9375,202506.671875,173033.9375,12020.0
2024-02-20,71749.8359375,147958.578125,201511.5625,170662.3125,11840.0
2024-02-21,71456.1875,147365.15625,201511.5625,167911.21875,11740.0
2024-02-22,71554.0703125,154782.875,201014.0,167436.90625,11680.0
2024-02-23,71358.296875,159629.109375,199521.3125,170757.1875,11550.0
2024-02-26,71260.4140625,160024.71875,198924.25,172180.15625,11520.0
2024-02-27,71358.296875,152112.484375,199023.765625,180338.5625,11130.0
2024-02-28,71651.953125,156266.390625,203004.234375,180243.6875,11320.0
2024-02-29,71847.734375,154486.15625,194048.171875,170472.59375,11380.0
2024-03-04,73316.0,164673.140625,191062.8125,167057.4375,11100.0
2024-03-05,72141.3828125,163980.84375,187778.921875,166772.859375,10940.0
2024-03-06,71358.296875,161112.640625,188873.546875,171326.375,10800.0
2024-03-07,70673.109375,163090.703125,188077.453125,168006.09375,10780.0
2024-03-08,71749.8359375,170013.890625,187082.328125,171041.765625,10910.0
2024-03-11,70868.875,164772.046875,188973.0625,170282.84375,10910.0
2024-03-12,71749.8359375,163881.921875,189570.125,172369.890625,11030.0
2024-03-13,72532.921875,161804.96875,187480.375,169618.796875,10980.0
2024-03-14,72728.6953125,160123.625,185888.1875,170187.984375,11550.0
2024-03-15,70770.984375,159431.296875,185191.609375,171516.09375,11180.0
2024-03-18,71260.4140625,162497.296875,183201.375,173128.8125,11020.0
